epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.183,1.43089,2.12279,1.66886,0.00133,0.25,0.00181,0.00045,3.90378,6.50459,5.37406,0.00062,0.00062,0.00062
2,43.6706,1.94895,2.25671,2.05418,0.00243,0.1875,0.00112,0.00022,4.53229,860.384,96.5544,0.00125584,0.00125584,0.00125584
3,62.1169,2.04816,2.29051,2.1398,0.02045,0.3125,0.00732,0.0019,nan,nan,nan,0.00188746,0.00188746,0.00188746
4,80.9553,2.00388,2.33783,2.18512,0.00068,0.125,0.00038,0.00015,nan,nan,nan,0.0019802,0.0019802,0.0019802
5,100.011,1.96795,2.26343,2.11977,0.02958,0.125,0.00859,0.0017,4.27727,16.3999,8.60998,0.0019736,0.0019736,0.0019736
6,119.666,1.82311,2.13321,1.98657,0.12464,0.1875,0.05409,0.01699,3.04792,13.8797,3.93385,0.001967,0.001967,0.001967
7,140.073,1.77718,2.0622,1.96168,0.53468,0.36018,0.35065,0.14054,2.17796,7.54622,2.74989,0.0019604,0.0019604,0.0019604
8,161.37,1.76339,2.05051,1.95587,0.259,0.375,0.18262,0.10726,2.54155,3.93203,3.06027,0.0019538,0.0019538,0.0019538
9,183.084,1.69817,1.96565,1.86758,0.42195,0.1875,0.24733,0.13289,1.7233,4.30034,2.13023,0.0019472,0.0019472,0.0019472
10,204.118,1.68365,1.99531,1.84603,0.4268,0.5625,0.49259,0.28467,1.45193,2.45375,1.89059,0.0019406,0.0019406,0.0019406
11,225.044,1.66859,1.91131,1.84622,0.55504,0.39082,0.42315,0.15349,2.24242,2.55183,2.71206,0.001934,0.001934,0.001934
12,246.075,1.58632,1.85987,1.80373,0.75257,0.5625,0.69893,0.37403,1.41353,2.1451,1.78317,0.0019274,0.0019274,0.0019274
13,267.493,1.59815,1.90847,1.80886,0.38203,0.6875,0.50434,0.20109,1.76639,2.83262,2.16748,0.0019208,0.0019208,0.0019208
14,288.508,1.55658,1.84949,1.74388,0.63718,0.5625,0.4748,0.18531,2.12885,2.58658,2.97646,0.0019142,0.0019142,0.0019142
15,309.477,1.58434,1.82215,1.75499,0.56515,0.5,0.52937,0.24957,1.57137,2.66809,2.04766,0.0019076,0.0019076,0.0019076
16,330.458,1.56298,1.80721,1.73809,0.94717,0.4375,0.61583,0.32467,1.41464,1.55555,1.82939,0.001901,0.001901,0.001901
17,351.475,1.52605,1.78388,1.72561,0.79658,0.5,0.6205,0.22702,1.7781,2.12581,2.02527,0.0018944,0.0018944,0.0018944
18,372.657,1.54574,1.75576,1.73617,0.41094,0.625,0.43476,0.2204,1.53954,2.06411,1.97783,0.0018878,0.0018878,0.0018878
19,393.876,1.50771,1.71744,1.68095,0.41916,0.5,0.43484,0.23269,1.58889,2.08348,1.96726,0.0018812,0.0018812,0.0018812
20,415.006,1.48936,1.66833,1.67631,0.4321,0.66635,0.48107,0.2812,1.57216,1.53924,1.94867,0.0018746,0.0018746,0.0018746
21,436.111,1.46087,1.68131,1.68146,0.92833,0.625,0.76026,0.2704,1.93488,1.86663,2.5464,0.001868,0.001868,0.001868
22,457.303,1.4959,1.68335,1.66894,0.46379,0.75,0.60741,0.25937,1.84178,1.81477,2.20666,0.0018614,0.0018614,0.0018614
23,478.438,1.42641,1.61526,1.64245,0.91263,0.65421,0.81292,0.47852,1.27128,1.35941,1.67002,0.0018548,0.0018548,0.0018548
24,499.774,1.4019,1.62399,1.62648,0.90794,0.61711,0.74761,0.40443,1.4402,1.59454,1.74944,0.0018482,0.0018482,0.0018482
25,520.858,1.41224,1.62886,1.6193,0.78634,0.5625,0.67468,0.38591,1.38036,1.63935,1.75528,0.0018416,0.0018416,0.0018416
